"region","species_name","cuid","cu_name_pse","exp","curr_spw","curr_spw_start_year","curr_spw_end_year","cu_enh_rank","psf_status","cosewic_status","cosewic_status_yr","wsp_status","wsp_status_yr","rollup_hi_pct","rollup_mod_pct","rollup_lo_pct"
"Fraser","Lake sockeye",713,"Harrison-Downstream Migrating-Late",NA,392,2018,2021,"None","poor","Special Concern",2015,"Amber_green",2014,0.159407748503088,0.309661506253756,0.530930745243157
"Fraser","Lake sockeye",714,"Harrison-Upstream Migrating-Late",NA,3684,2018,2021,"None","poor","Endangered",2015,"Red",2014,1,NA,NA
"Fraser","Lake sockeye",715,"Pitt-Early Summer",NA,8962,2018,2021,"High","poor","Not at risk",2015,"Green",2014,0.100170610502952,0.343403764303494,0.556425625193554
"Fraser","Lake sockeye",716,"Lillooet-Harrison-Late",NA,10721,2018,2021,"None","poor","Special Concern",2015,"Amber",2014,0.125433893116568,0.332284998583483,0.542281108299949
"Fraser","Lake sockeye",718,"Nahatlatch-Early Summer",NA,2531,2018,2021,"None","fair","Special Concern",2015,"Amber",2014,0.0486880612617518,0.203118204533672,0.748193734204576
"Fraser","Lake sockeye",719,"Anderson-Seton-Early Summer",NA,9012,2018,2021,"High","poor","Not at risk",2015,"Amber_green",2014,0.243555653913281,0.235244163625364,0.521200182461355
"Fraser","Lake sockeye",720,"Chilko-Early Summer",NA,NA,NA,NA,"None","data-deficient","Not at risk",2015,"Green",2014,NA,NA,1
"Fraser","Lake sockeye",721,"Chilko-Summer",NA,267851,2018,2021,"None","poor","Not at risk",2015,"Green",2014,NA,0.185364703901943,0.814635296098057
"Fraser","Lake sockeye",725,"Francois-Fraser-Summer",NA,80820,2018,2021,"Low","poor","Special Concern",2015,"Amber_green",2014,0.621306039402273,0.322241512436994,0.0564524481607328
"Fraser","Lake sockeye",727,"Nadina-Francois-Early Summer",NA,35054,2018,2021,"None","good","Not at risk",2015,"Amber_green",2014,0.621306039402273,0.322241512436994,0.0564524481607328
"Fraser","Lake sockeye",728,"Quesnel-Summer (cyclic)",NA,NA,NA,NA,"Moderate","data-deficient","Endangered",2015,"Red_amber",2014,0.327127255799358,0.244305901416602,0.42856684278404
"Fraser","Lake sockeye",729,"Seton-Late (de novo)",NA,1016,2018,2021,"None","poor","Endangered",2015,"Red",2014,0.243555653913281,0.235244163625364,0.521200182461355
"Fraser","Lake sockeye",731,"Takla-Trembleur-Stuart-Summer (cyclic)",NA,NA,NA,NA,"None","data-deficient","Endangered",2015,"Red_amber",2014,0.301155148727716,0.392103434361919,0.306741416910366
"Fraser","Lake sockeye",732,"Takla-Trembleur-Early Stuart (cyclic)",NA,NA,NA,NA,"None","data-deficient","Endangered",2015,"Red",2014,0.207110601697727,0.408258318240528,0.384631080061745
"Fraser","Lake sockeye",734,"Taseko-Early Summer",NA,177,2018,2021,"None","fair","Endangered",2015,"Red",2014,0.0293718620834367,0.351631366322531,0.618996771594032
"Fraser","Lake sockeye",735,"Bowron-Early Summer",NA,654,2018,2021,"None","poor","Endangered",2015,"Red",2014,NA,0.413887441223724,0.586112558776276
"Fraser","Lake sockeye",738,"Shuswap-Early Summer (cyclic)",NA,NA,NA,NA,"Low","data-deficient","Not at risk",2015,"Amber",2014,0.447131133602702,0.275382390849266,0.277486475548032
"Fraser","Lake sockeye",739,"Shuswap-Late (cyclic)",NA,NA,NA,NA,"None","data-deficient","Not at risk",2015,"Amber_green",2014,0.447131133602702,0.275382390849266,0.277486475548032
"Fraser","Lake sockeye",740,"Kamloops-Early Summer",NA,3756,2018,2021,"None","poor","Special Concern",2015,"Amber",2014,0.454827127674182,0.273872338156392,0.271300534169426
"Fraser","River sockeye",742,"Widgeon (river-type)",NA,174,2018,2021,"None","fair","Threatened",2015,"Red",2014,NA,1,NA
"Fraser","River sockeye",745,"Harrison River (river-type)",NA,22251,2018,2021,"None","poor","Not at risk",2015,"Green",2014,1,NA,NA
